Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
156639,A New Philosophy of Society: Assemblage Theory and Social Complexity,Manuel DeLanda,"DeLanda, Manuel",,"=""0826491693""","=""9780826491695""",0,3.83,Bloomsbury Academic,Paperback,150,2006,2006,,2022/03/21,to-read,to-read (#294),to-read,,,,0,,,0,,,,,
5588817,Philosophy and Real Politics,Raymond Geuss,"Geuss, Raymond",,"=""0691137889""","=""9780691137889""",0,3.94,Princeton University Press,Hardcover,128,2008,2008,,2022/03/20,to-read,to-read (#293),to-read,,,,0,,,0,,,,,
13024117,Life Without Money: Building Fair and Sustainable Economies,Anitra Nelson,"Nelson, Anitra",Frans Timmerman,"=""0745331653""","=""9780745331652""",0,3.74,Pluto Press,Paperback,256,2011,2011,,2022/03/20,to-read,to-read (#292),to-read,,,,0,,,0,,,,,
7208115,Theorizing Patriarchy,Sylvia Walby,"Walby, Sylvia",,"=""0631147683""","=""9780631147688""",0,4.18,Blackwell Publishers,Hardcover,256,1990,1990,,2022/03/20,to-read,to-read (#291),to-read,,,,0,,,0,,,,,
52184,The Marx-Engels Reader,Karl Marx,"Marx, Karl","Friedrich Engels, Robert C. Tucker","=""039309040X""","=""9780393090406""",0,3.98,W. W. Norton & Company,Paperback,788,1978,1971,,2022/03/20,to-read,to-read (#290),to-read,,,,0,,,0,,,,,
12991006,Beyond Human Rights,Alain de Benoist,"Benoist, Alain de","Matthew Peters, John Black Morgan, Alexander Jacob","=""1907166203""","=""9781907166204""",0,3.72,Arktos,Paperback,122,2011,2011,,2022/03/20,to-read,to-read (#289),to-read,,,,0,,,0,,,,,
96717,Dance of the Dialectic: Steps in Marx's Method,Bertell Ollman,"Ollman, Bertell",,"=""0252071182""","=""9780252071188""",0,4.06,University of Illinois Press,Paperback,248,2003,2003,,2022/03/20,to-read,to-read (#288),to-read,,,,0,,,0,,,,,
1854366,Marx's Lost Aesthetic: Karl Marx and the Visual Arts,Margaret A. Rose,"Rose, Margaret A.",,"=""0521369797""","=""9780521369794""",0,4.00,Cambridge University Press,Paperback,216,1988,1984,,2022/03/20,to-read,to-read (#287),to-read,,,,0,,,0,,,,,
85812,Dialectic of Enlightenment: Philosophical Fragments,Theodor W. Adorno,"Adorno, Theodor W.","Max Horkheimer, Gunzelin Schmid Nörr, Edmund Jephcott","=""0804736332""","=""9780804736336""",0,4.10,Stanford University Press,Paperback,304,2007,1944,,2022/03/20,to-read,to-read (#286),to-read,,,,0,,,0,,,,,
127230,On Violence,Hannah Arendt,"Arendt, Hannah",,"=""0156695006""","=""9780156695008""",0,3.80,Harvest Books,Paperback,106,1970,1970,,2022/03/17,to-read,to-read (#285),to-read,,,,0,,,0,,,,,
204011,Postmodernism or the Cultural Logic of Late Capitalism,Fredric Jameson,"Jameson, Fredric","Stanley Fish, Stefano Velotti","=""0822310902""","=""9780822310907""",0,3.99,Duke University Press,Paperback,438,1992,1991,,2022/03/17,to-read,to-read (#284),to-read,,,,0,,,0,,,,,
188897,Socialism: Utopian and Scientific,Friedrich Engels,"Engels, Friedrich",,"=""0873485793""","=""9780873485791""",0,4.20,Pathfinder Press (NY),Paperback,86,1989,1880,,2022/03/15,to-read,to-read (#283),to-read,,,,0,,,0,,,,,
19499462,Postscript on the Societies of Control,Gilles Deleuze,"Deleuze, Gilles",,"=""""","=""""",0,4.31,,Paperback,10,1990,1990,,2022/03/13,to-read,to-read (#282),to-read,,,,0,,,0,,,,,
22085568,The Culture Map: Breaking Through the Invisible Boundaries of Global Business,Erin Meyer,"Meyer, Erin",,"=""""","=""""",0,4.31,PublicAffairs,Kindle Edition,290,2014,2014,,2022/03/11,to-read,to-read (#280),to-read,,,,0,,,0,,,,,
1113155,The Conquest of Bread,Pyotr Kropotkin,"Kropotkin, Pyotr",,"=""1904859100""","=""9781904859109""",0,4.10,AK Press,Paperback,224,2006,1892,,2022/03/10,to-read,to-read (#279),to-read,,,,0,,,0,,,,,
34150000,J Is for Junk Economics: A Guide to Reality in an Age of Deception,Michael Hudson,"Hudson, Michael",,"=""3981484258""","=""9783981484250""",0,4.35,Islet,Paperback,406,2017,2017,,2022/03/09,to-read,to-read (#278),to-read,,,,0,,,0,,,,,
10185738,Why Marx Was Right,Terry Eagleton,"Eagleton, Terry",,"=""""","=""""",0,3.90,Yale University Press,Hardcover,258,2011,2011,,2022/03/09,to-read,to-read (#277),to-read,,,,0,,,0,,,,,
49989117,"The Return of Holy Russia: Apocalyptic History, Mystical Awakening, and the Struggle for the Soul of the World",Gary Lachman,"Lachman, Gary",,"=""1620558106""","=""9781620558102""",0,3.84,Inner Traditions,Hardcover,448,2020,2020,,2022/03/06,to-read,to-read (#276),to-read,,,,0,,,0,,,,,
179612,The State and Revolution,Vladimir Lenin,"Lenin, Vladimir",,"=""1419183478""","=""9781419183478""",0,4.19,Kessinger Publishing,Paperback,116,2004,1917,,2022/03/05,to-read,to-read (#275),to-read,,,,0,,,0,,,,,
3979190,Critique of the Gotha Program,Karl Marx,"Marx, Karl",,"=""1434463095""","=""9781434463098""",0,4.24,Wildside Press,Paperback,64,2008,1875,,2022/03/05,to-read,to-read (#274),to-read,,,,0,,,0,,,,,
189639,The Poverty of Philosophy,Karl Marx,"Marx, Karl",,"=""1402178549""","=""9781402178542""",0,3.91,Adamant Media Corporation,Paperback,231,2005,1847,,2022/03/04,to-read,to-read (#273),to-read,,,,0,,,0,,,,,
9303596,The Globalization Paradox: Democracy and the Future of the World Economy,Dani Rodrik,"Rodrik, Dani",,"=""0393071618""","=""9780393071610""",0,4.01,W. W. Norton  Company,Hardcover,368,2011,2010,,2022/02/27,to-read,to-read (#272),to-read,,,,0,,,0,,,,,
25241684,Tough As They Come,Travis Mills,"Mills, Travis","Marcus Brotherton, Gary Sinise","=""110190478X""","=""9781101904787""",5,4.43,Convergent Books,Hardcover,256,2015,2015,,2022/02/27,,,read,,,,1,,,0,,,,,
34668550,Геополитика и геостратегия,Алексей Вандам,"Вандам, Алексей",,"=""""","=""""",0,4.42,Кучково поле,Hardcover,272,2002,,,2022/02/27,to-read,to-read (#271),to-read,,,,0,,,0,,,,,
413179,The Clash of Civilizations and the Remaking of World Order,Samuel P. Huntington,"Huntington, Samuel P.",,"=""0684844419""","=""9780684844411""",0,3.76,Simon & Schuster,Paperback,368,1998,1996,,2022/02/27,to-read,to-read (#270),to-read,,,,0,,,0,,,,,
54273,"Hitler's Beneficiaries: Plunder, Racial War, and the Nazi Welfare State",Götz Aly,"Aly, Götz",Jefferson Chase,"=""0805079262""","=""9780805079265""",0,4.03,Metropolitan Books,Hardcover,431,2007,2005,,2022/02/14,to-read,to-read (#269),to-read,,,,0,,,0,,,,,
11347493,The Principles of Communism,Friedrich Engels,"Engels, Friedrich",,"=""""","=""""",0,3.97,Eduard Bernstein in the German Social Democratic Party’s Vorwärts!,ebook,25,1914,1847,,2022/02/13,to-read,to-read (#268),to-read,,,,0,,,0,,,,,
443061,Soul Murder: The Effects of Childhood Abuse and Deprivation,Leonard Shengold,"Shengold, Leonard",,"=""0449905497""","=""9780449905494""",0,3.87,Ballantine Books,Paperback,352,1991,1989,,2022/02/04,to-read,to-read (#267),to-read,,,,0,,,0,,,,,
51625256,Rules for Retrogrades: Forty Tactics to Defeat the Radical Left,Timothy J. Gordon,"Gordon, Timothy J.",David R. Gordon,"=""""","=""""",0,4.18,TAN Books,Kindle Edition,151,2020,,,2022/02/03,to-read,to-read (#266),to-read,,,,0,,,0,,,,,
57492024,The Case for Patriarchy,Timothy J. Gordon,"Gordon, Timothy J.",,"=""1622828402""","=""9781622828401""",0,3.87,Crisis,Hardcover,400,2021,,,2022/02/03,to-read,to-read (#265),to-read,,,,0,,,0,,,,,
54287817,Wild at Heart Expanded Edition: Discovering the Secret of a Man's Soul,John Eldredge,"Eldredge, John",,"=""1400225264""","=""9781400225262""",0,4.48,Thomas Nelson,Paperback,256,2021,,,2022/02/03,to-read,to-read (#263),to-read,,,,0,,,0,,,,,
45153886,"The Biblical Masculinity Blueprint: A Christian Man’s Guide to Attraction, Relationships, and Marriage in a Messed-up World",Stephen Casper,"Casper, Stephen",,"=""""","=""""",0,4.64,,Kindle Edition,302,2019,,,2022/02/03,to-read,to-read (#262),to-read,,,,0,,,0,,,,,
1084476,Male Practice: How Doctors Manipulate Women,Robert S. Mendelsohn,"Mendelsohn, Robert S.",,"=""0809257211""","=""9780809257218""",0,4.29,Contemporary Books,Paperback,,1982,1981,,2022/02/03,to-read,to-read (#261),to-read,,,,0,,,0,,,,,
